,,Notes,Aisa Minh,Masao Sy,Leta Narvaez,Victoria Swift,Solomon Renfield,Justyn Attlee,Grizzly Saeki,Akemi Kobayashi,Sassoon,Ezel Sinai,Arvin Sanjrani,Knox Mandaba
*,TimeTravel_Win,Last thing pilot says before time traveling after a victory.,"""See you in another timeline, #squad... Well, you know what I mean."",""I'm sad to leave this world behind. What I'd give for a moment of peace? Everything.""","""#squad, thank you... I've never been happier to have been so wrong."",""This is it.. Farewell, #squad.""","""Good to know we're parting not as failures, but as saviors. Do your timelines good, #squad."", ""See you around, #squad. We have a lot to do."", ""It was good working with competent pilots, but we must go our own ways.""","""Victory, at last. A familiar taste, but I'm sure you'll be happy to relish it, #squad."", ""I don't suppose I'll be awarded a medal for this one either. Godspeed, #squad."",","""I'm off, to study and save another timeline. Farewell, #squad."",""We depart this timeline with the final gift of its salvation. Remain in good health, #squad.""","""We're all safe... The timeline's saved... I'll miss you, #squad."", ""We actually managed to beat the Vek, but.. to leave you so soon, #squad.."",","""#squad, it's been an honor. Farewell."",""Serve your timelines well, #squad."",""You've all done well. #self_second, signing out.""","""Stay safe, #squad. Your timelines need you."",""Best of luck, #squad, though I'm sure you won't need it."",""You've all served well. Godspeed, #squad.""","""A job well done thanks to your valiance."",""Salvation, rejoice, fanfare, then farewells.""","""To another timeline, already? Farewell, #squad."",""And so we depart in a flash light, off to another timeline. Farewell."",""Glad to have seen this timeline through. Couldn't have done it without you all, #squad.""","""A victory we'll be unable to savor... Farewell, #squad."",""Take this experience with you, #squad. Do your timelines proud.""","""It's been good, #squad, but it's time for us to part ways."",""Wherever you end up, I wish you all the best, #squad."",""See you around, #squad, if we get really lucky."""
,Gameover_Start,Right when you lose,"""The grid... It's... It's over now."",""What's going on, everything just went out.. No...""","""We have more timelines to try, but t-these people.. It's our fault..."",""I've failed you all. I-I'm sorry.""","""It's... over.. Shit, if only we'd..."", ""We're being overrun, we have to pull out. Dammit!"", ""It's no use, it's too late, we've failed. Pull out!""","""I should have seen this coming. We have no option but to abandon this battle."",  ""The Grid has collapsed. We have no hope to salvage this front now."", ""The Grid is compromised. The timeline, doomed."", ""Receiving reports.. The Vek are overrunning all sectors. We've lost, #squad."", ""Defeat... the end of this timeline, but a chance for us to try once more.""","""There is no chance for the Grid now.. and for the timeline."", ""Our chances were low from the start, but I had hoped..."",""The Grid... We will be unable to see this timeline through.""","""The Grid, it's out! It's over!"", ""My mech! No, not like this!"",""We let the Grid.. we lost..""","""The Grid is gone. We only have one option now."",""If only I'd..."",""We... mustn't dwell on this.""","""We've failed, the timeline's compromised."",""We were too concerned with our own safety to salvage the timeline."",""Indecisive, cowardly, inadequate. This timeline deserved better."",""The Grid has been lost, this timeline has no chance of survival.""","""Our toils and troubles all dashed at once."",""So many countless lives all lost in vain.""","""To think I'd gotten my hopes up."",""The Grid's gone. This timeline is beyond saving."",""Unfortunate as it is, we can do no more for this timeline.""","""Without the Grid, this timeline is hopeless.."",""I'm afraid we've failed. We need to breach.""","""There's too many... This timeline won't make it."",""The Grid's down. And.. oh no."",""Sorry, commander. We did our best, but it wasn't enough."""
,Gameover_Response,Response to above,"""Next timeline, we'll fare better. We can learn from our mistakes."",""Get ready for a breach. We'll get them next time.""","""Learn, improve, fight. Our work is never finished."",""We have more to do. We can't let this stop us, no matter how much I..."",","""Initiate the breach! We can save our next timelines!"", ""Start the breach now, we have to get out of here. Don't dwell on this, we can keep fighting in a different timeline!""","""The breach is open!"", ""Move, soldiers! We're breaching now!"", ""Regroup, soldiers. Breach open!"", ""Activate the breach, we will start again!""","""We can do nothing more for this timeline. Ready yourselves to breach."",""We must breach, and start anew with what we have learned. There is no other option."",""Activate the temporal breach. We must start again.""","""There's no point in staying here, we have to jump to another timeline."", ""Initiate the breach, before the Vek get us!""","""There is nothing more we can do here. Goodbye, #squad."",""Activate the breach, we must move on to another timeline."",""The breach is ready. Good luck.""","""Prepare yourselves to breach, #squad."",""It's not over yet. Breach, and give yourselves another chance."",""Temporal breach initiated. Prepare to start anew.""","""A starting step, not our conclusion. Breach."",""We escape to another universe."",""The breach leaves us not with failure, but hope.""","""Not a moment's hesitation. Prepare yourselves to breach."",""The breach has been initiated. Get ready to try again."",""The breach is ready. Farewell.""","""The breach is ready. Godspeed, #squad."",""Initiate the breach, we'll give this another try.""","""Time for us to breach. We'll do better next time."",""Get ready to breach, unless you want to go down with this timeline..."",""Prepare yourselves to breach. We'll try again."""
,,,,,,,,,,,,,,
UI Barks,Upgrade_PowerWeapon,Turn on a new weapon.,"""This feels pretty weighty. Thank you, commander."", ""That's a sound I think I can get used to."",  ""I don't need my system diagnostics to tell me this is an excellent fit."", ""The Vek won't see what hit them. Neither will I, but the victim is the relevant party here.""","""A new weapon, nice. I think I'll get a lot of mileage from this."", ""This means a lot of lives saved. Thank you, commander."", ""Thank you for the weapon, I promise I'll put it to good use.""","""Locked and loaded, ready to destroy some Vek."", ""..Oh yeah, they're gonna love this."", ""This looks pretty dangerous. You've chosen the right pilot."", ""I bet they won't see this one coming. Nice work, commander."", ""Better in my hands than on a cadet.""","""Entire wars can be won with just a few innovations."",  ""A new weapon is nothing to shy away from. Technology only serves to strengthen our capabilities."",  ""New arms, excellent. I'm not one to reject new tools."", ""Allow me to demonstrate how this is used, cadets."", ""The tactical options this opens are plenty. A welcome addition to our arsenal.""","""Readings are optimal. Weapons are ready."", ""Let's find out how the Vek react to this one."", ""An excellent addition for our arsenal. Vek won't stand a chance.""","""This'll definitely even things up with those Vek. Or, it'll make things a little more even."", ""I'll definitely be able to beat the Vek back now."", ""This is some serious firepower. I'll make good use of it."", ""Wish I had this sooner, but better now than when it's too late.""","""More weapons to work with. Good."",""Give me a moment to practice this."",""I hope this wasn't costly."",""Doesn't hurt to have more options."",""A definite extension of my capabilities.""","""A pilot who refuses new tools is doomed by their own close-mindedness."",""Sometimes, the most potent weapons are also the most unassuming."",""This weapon has quite the heft to it."",""The more ways we have to crush the Vek, the better.""","""Another tool to help even the odds."",""To shoot, to smash, to forge our victory."",""Our innovations tested in fire.""","""This is a fine addition to my arsenal."",""A warrior should never shy away from new tools."",""More options to administer to the Vek menace.""","""Let's see what I can do with this."",""I think you'd be surprised with what we can do using tech like this."",""Ready to stomp some Vek, commander.""","""Being real with you, I've worked with weirder tech before."",""I get lots of new tech all the time, give me a moment and I'll have this one up too."",""Hey, check out what I can do with this thing."""
,Upgrade_NoWeapon,If you have no weapon powered. This plays every time you remove all weapons from the Pilot.,"""You're leaving me in the dark here in more ways than one, commander."", ""If you're not giving me a weapon, I may as well stay back."", ""Give me a weapon. I can use it, and I'll prove that to you.""","""I'm not gonna be able to do much without a weapon."", ""Am I really that inadequate? Let me prove myself."", ""Don't forget to give me back a weapon."", ""I can try, but having a weapon would make life easier.""","""I could kill the Vek unarmed if I really wanted to, but it'd still expedite things to have a weapon."", ""Is this funny to you? Give me a weapon, I've got Vek to kill."", ""I'll kill a lot quicker if you give me a weapon."", ""Give my weapon back, how do you expect me to kill enough Vek without one?""","""You'd be a fool to send me into battle without any armaments.."",  ""This isn't the time for personal challenges. Provide me a weapon."", ""These mechs will serve little purpose unarmed."", ""The sooner you give me something new, the better I'll know it.""","""Sending me into battle like this would be extremely wasteful."", ""We'd be a lot more efficient if we went into battle all armed."", ""The weapon was adequate, if you want to perform upgrades it can stay on my mech."", ""I would love to get back to the bomb or on breaching tests, but I am needed here.""","""I'm gonna be bug-feed without an arsenal."",  ""Don't send me out there without a weapon.."", ""Give me a weapon, I need something to fight the Vek!"", ""Sending me out without a weapon? What are you thinking!?""","""Reconnaissance duty? What a waste of my skills."",""Provide me a weapon before our next assignment."",""I'll be more useful armed, commander."",""Fighting will be difficult without any armaments.""","""What is taking my weapons away meant to prove?"",""Is this a game to you? I need weapons to take down the Vek."",""We may not agree on strategy, but confiscating my weapons won't better our situation."",""You'd better replace that with something stronger.""","""An unprepared, pitiful sacrifice."",""To leave unarmed, to underestimate.""","""No weapons? What exactly are you trying to achieve, commander?"",""Quit wasting our time and give me a weapon, commander."",""I hope this is temporary, I'll need a weapon to fight.""","""I'd love to sit back and monitor the battlefield, but I need to participate in the action."",""Sending me out without a weapon? Is this some sort of joke?"",""What could you possibly be trying to achieve here?""","""I'm crazy good with new tech, don't deny me the opportunity."",""What, don't trust me or something? Give me a weapon!"",""Please don't forget to provide a weapon."""
,Upgrade_PowerGeneric,"Diverting reactor power to either Health or Move (basic Mech stats, not a weapon).","""Everything feels... sharper. This makes quite a difference."", ""I'll use it well, commander."", ""This upgrade is excellent, thank you."",  ""Diagnostics tell me you've made the right choice."", ""This raises my mech's potency by quite a bit.""","""I won't let you down with this."", ""This is helpful, thank you. Let's show the Vek what we're made of."",","""Powering up, ready to roll."",  ""Mech's upgraded, this'll do."",  ""Got any more reactors? The more, the better."", ""Can't wait to shred some Vek with this in.""","""Every upgrade counts, no matter how small."",  ""Keep the upgrades coming, don't let the Vek anticipate our strength."", ""Aiding the mech's capabilities enables us to fight with incredible efficiency."",  I was already stronger than the Vek. This let's me take them on two-fold."", ""With power like this, I can see this timeline's war ending soon."", ""It is a shame we cannot take these upgrades with us, but that's all the more reason to use them wisely now.""","""Reactor installed, power distributed at maximum efficiency!"", ""These cores are almost.. otherworldly. Wherever the origin, a welcome addition to this mech."", ""If I'm not mistaken, the emissions from these cores..."", ""Sensors indicate the core has been installed successfully.""","""This definitely improves my chances.. our chances, out there."",  ""This makes my mech run a lot smoother."",  ""I don't think I could live without this upgrade."", ""Core's in, readings are positive. I'm more ready than ever."",","""Reactor installed."",""Mech upgrade successful."",""Mech powered at full capacity."",""This upgrade won't go to waste.""","""A shame we can only upgrade our mechs so much."",""Reactor installed. I'll make sure it counts."",""It doesn't have to be a weapon to contribute to the effort."",""Even the smallest upgrade will help in the most pressing times""","""Superior technology used well."",""Reactor core installed successfully.""","""Let's see what I can do with this upgrade."",""Upgrade's a success."",""Can't say I was expecting that upgrade, but I'll take it."",""With this core, my mech feels better than it's ever been before.""","""The upgrade's been installed. Ready for action."",""With this, my mech should be ready to get on the field."",""Reactor core's in, all systems up.""","""Heh, let's see how quickly these battles go now."",""I think this'll work well on my mech."",""Almost dropped that reactor core. Worry not, it's installed."",""So, about that mech extension I wanted..."""
,,,,,,,,,,,,,,
Mid- Battle,MissionStart,Generic mission start,"""Focus on the objective, but don't let it get in the way of protecting these civilians."",""Ready, #squad? I'll take the lead here."",""Pilot #self_second reporting in, I'm ready for battle."",""I don't need plausible cause to prosecute these Vek.""","""These people haven't failed us yet, let us return the favor."",""This'll be over before we know it... one way or the other."",""If any civilians die, the blood is on our hands. Stay focused."",","""We've landed. Ready up, #squad."", ""#self_second in, #self_mech landed. Hurry up and give me your orders."", ""Any time now. Those Vek won't wait around."", ""Ready to engage, let's send those Vek to hell."",","""Civilians support their soldiers and soldiers protect their civilians. We cannot allow either to fall."", ""The sooner our offensive begins, the better. We must take the initiative!"", ""On my command, #squad."", ""#main_mech deployed, enter formation #squad!"", ""We must kill every Vek here, lest they regroup and come back stronger."", ""Every enemy neutralized bolsters our chances. Let no Vek escape.""","""Excellent, an opportunity for field testing. Ready up, #squad!"", ""Keep your objective in mind, but remember, without the Grid this timeline is doomed."", ""Prepare yourselves, #squad. We've got Vek incoming!""","""Keep it together, #squad, and maybe we'll make it through to the end."", ""Focus the objective. The sooner we get it over with, the better."", ""Keeping the buildings safe is important, but don't risk too much - the Grid can be repaired, however slowly.""","""On me, #squad."",""Take the lead here, #squad."",""#self_second here. I've deployed."",""Keep those civilians safe, #squad."",""Don't let a single Vek out alive."",""Strike when we have the advantage.""","""We must complete our objectives, no matter the cost. The resources #corp will reward us with are vital."",""On my command, #squad. Don't let a single one out alive."",""Don't disappoint me, #squad. Every battle counts."",""Civilian lives are important, but #corp's directives are of utmost priority.""","""Today these demons roam this land no more."",""For sentience we fight off these tyrants."",""These bugs encroach on civilian lives.""","""Protect the Grid, complete your objectives. Not as simple as it sounds, but we'll make it work."",""It's fine it we take some losses here.. If we fail in the bigger picture, this will all be irrelevant."",""Our objectives take priority. We need #corp's support to make it through this.""","""Protect this region if you can, but know that our orders determine the timeline's fate."",""Orders first, civilians second. Don't ignore either."",""On me, #squad. Let's secure this region."",""#self_second reporting in, ready for action.""","""Aaand we've landed. Ready, #squad?"",""Remember, the objective is key to saving this timeline."",""Ready for action, #squad?"",""Let's get to it!"""
*,Mission_ResetTurn,Triggers after a turn reset,"""W-woah! My sensors just... We jumped, didn't we?"", ""W-warn me next time, my sensors just went nuts!"", ""Localized breach.. mmh.. successful. Choose your actions carefully."", ""Breach... successful. No going back now.""","""I don't think I'll ever get used to that."", ""Make your decisions carefully next time, we shouldn't have needed to do this."", ""No regrets now, everything now is final."", ""Everyone back safely? W-wait. Urp.""","""Localized breach was a success, let's finish the mission."", ""We've used our localized breach, make your moves count."", ""Unnh! Warn me earlier next time!"", ""Here we are, again. Hope you've thought this through, commander.""","""Localized breach executed, rethink your actions carefully."", ""These.. may be taking their toll on me. But only just."", ""Fix your tactical errors, while we've got the chance."", ""Localized breach was a success, now get moving!""","""My readings indicate... well, my sensors aren't of much use right now, but I think it's safe to say we're back."", ""Another divergence... another timeline? I'm still doing research into this technology."", ""Localized breaches may come with some side-effects, but I'll surely take them over any life-threatening mistakes."", ""A less destructive use of temporal physics, but that's not to say it's any less productive.""","""Back here, again. Another chance to make things right."", ""Great, now I have to dodge the Vek again."", ""#squad, report in. Everything alright? Let's get this done.""","""Localized breach completed."",""#self_second reporting in, breach was successful."",""Reconsider your actions carefully."",""Localized breach completed. Tread cautiously.""","""Localized breach successful. Do not repeat your mistakes."",""You'd better know what you're doing now."",""I trust you have your moves planned out now."",""Make sure we don't fall into the same trap again.""","""We travel back in time to right our wrongs."",""The breach closes, lives potentially saved."",""Consider carefully your past actions.""","""Back in time, to give this all another try."",""Don't question whether that was a mistake. Ensure that it wasn't."",""A singular chance to right our wrongs."",""A fool's solution to more foolish choices.""","""Not something I'd like to get used to.. nor something we ought to be abusing."",""I hope that was the right decision."",""Localized breach complete. Couldn't have fixed that at all?""","""I've done more uncomfortable maneuvers."",""Reminds me a lot of that one move I did over Chronology Hall."",""Think you know what you want us to do now, commander?"""
,MissionEnd_Dead,Generic mission end where enemies are all killed,"""This region's clear. Excellent work, #squad."", ""Not detecting any alive Vek on my sensors, looks like we've secured the region."", ""There goes the last Vek. Looks like the area's clear!""","""We've wiped out the Vek, let's make this a trend."", ""They're gone. I didn't think I'd make it."", ""The Vek were wiped, is everyone fine now?"", ""We musn't rest until we know they're all gone."",","""We've wiped out those Vek. Nice work."", ""We killed every last one of those bugs, and we'll do it again next time."", ""Gone, as they should be. Region secured."",","""Scans report the Vek threat in this region has been exterminated."", ""Enemy threat neutralized. Excellent work, #squad."", ""No Vek were left alive - I expect you to keep this performance up, #squad."", ""Our ability to prevent an enemy retreat is vital to winning this war."", ""The Grid is intact, the region is secure."", ""Round up the troops to clear the area - This region needs to resume normal operations soon."", ""No Vek emerging, nor fleeing. You've earned your merits, #squad."", ""We've tasted victory today, but this is just one battle in the war.""","""The Vek have been exterminated. Hopefully we can put the remains to use."",""The Vek have been all but obliterated. Commendable work, #squad!"",""Not reading any Vek on my scans. This region is in the clear.""","""The Vek are actually all gone. We managed to kill them all."",  ""Not a single Vek managed to retreat!"", ""We got every last Vek. Wasn't expecting that!"", ""We pulled through, #squad, with every single Vek dead!""","""All hostiles weren eliminated."",""We've eliminated all incoming threats."",""This region has been secured. #corp will take it from here."",""Area's clear of Vek. Excellent work, #squad.""","""Sweep the region, make sure we killed them all."",""The Vek were all exterminated, as expected."",""The region has been secured completely."",""We've wiped out all the Vek. #ceo_second will be pleased.""","""No tyrants, threats or enemies alive."",""A clean sweep of the region, rendered pure."",""No reprisal from foes expertly slain.""","""We've done well, #squad. All the Vek are gone."",""Not a single Vek left in sight."",""Don't even have to chase off any Vek. They're all gone.""","""That's all the Vek cleared. This region can return to normal."",""Every Vek has been eliminated. That'll take a while to clean up."",""All the Vek are gone. Stellar performance, #squad.""","""That's all of the Vek gone. Nice going, #squad!"",""Not a single Vek left, couldn't have done it any better."",""Vek are all dead! Better than I expected, really."""
,MissionEnd_Retreat,Generic mission end when enemies retreat,"""We've sent them on the run!"", ""The Vek may regroup, but we've still managed to push them back quite far."", ""The Vek are burrowing back into the ground. Looks like we've fought them off.""","""We didn't get them all, but at least this region is secured."", ""We live to fight another day, this is what matters most."", ""I don't think we'll be able to chase them down any further. Damn."", ""This wasn't optimal, but I'll take this over the alternative."",","""We let some of them get away. Not happening again next time, Vek."", ""We won't be able to chase those. Dammit!"", ""Make your decisions faster next time, we let some of them get away.""","""These Vek are likely to assault another region. Do not allow them to escape next time."", ""Our objectives are the priority, but total elimination of the threat is important as well."", ""We can enlist troops to chase down the Vek, but it would be better to finish them here."", ""The Vek have been routed. Send someone to track their movements before they disappear."", ""This region is secure, but we've no chance of hunting the remaining Vek.""","""We've allowed the Vek to escape. Perhaps we can track their routes, but we've lost them otherwise."",""The Vek will likely threaten other regions now, but this one will be secure for the time being."",""We've forced the Vek into retreat. Hopefully, these people can rest for now.""","""I really hope they don't come back, we barely made it through."",  ""We.. didn't manage to finish off the Vek."", ""We fought the Vek off. We're alive. That's all that matters."",""The Vek live to fight another day, but so do we.""","""We were unable to eliminate the threat entirely."",""Stay sharp. The enemy may return."",""The Vek are wounded, but not neutralized.""","""We won't have the resources to pursue these Vek fully."",""We let some of the Vek escape, I expect better performance next time."",""I won't be as lenient about letting these Vek go as #ceo_second may be."",""Move faster next time, we shouldn't let even a single Vek escape.""","""Our work unfinished, evildoers loose."",""Inadequacy leaves our backs exposed."",""Vek driven away, but scheming below.""","""Unfortunate that we left some alive, but it's good that they're finally gone."",""The Vek have left to trouble another region. We'll pursue them later."",""Didn't quite get all of the Vek, but this is good enough.""","""Not.. ideal to have let the Vek escape, but they're gone for now."",""We'd better warn the surrounding regions they might have some stragglers incoming."",""That's the most we can do for now.""","""Shame we had to let some go, but that's how it goes."",""Not a perfect performance, but it could have gone worse."",""Vek just went and left the field."",""Hope the other regions are ready to deal with any stragglers."""
,,,,,,,,,,,,,,
,MissionFinal_Start,Plays at the start of the final mission,"""It's... really hot here. Fitting, for a final confrontation."",""Feel the heat? The Vek'll have it a lot hotter when we blow this place sky high.""","""It's... hot here. Just the way I like it."",""That volcano is active. If you would let me utilize it, I could destroy these Vek with terrible efficiency.""","""We've come so far. Don't fail me now, pilots."", ""This is it. Time to kick some ass."", ""Ever see a volcano erupt? Watch your footing, if we're careful we can use that to our advantage."", ""I'm not letting a single one get out alive.""","""Now that we've taken the fight to the Vek, let's see this through to the end, #squad."",  ""A rarity to be able to end a war so directly, we must take this opportunity in full."",","""This eruption seems.. unnatural. Perhaps some biological factor is responsible for this?"", ""The volcano will be a threat, stay on your guard #squad."", ""We're a short battle away from wiping the Vek from this timeline, once and for all.""","""An entire island full of Vek. I don't think I'm ready for this, commander."", ""Is this our final fight? I don't think I can do this much longer."", ""As if the Vek couldn't get any more diabolical. There's even a volcano.""","""That volcano might be an issue. I hope you've planned around it."",""This is our chance to save this timeline. Don't let our efforts go to waste.""","""Think a little heat scares me? It only makes me want to take you out faster, Vek."",""We've taken the fight to their hive. It's time to end this."",""Get ready to save this timeline, once and for all.""","""An island dominated by evil."",""Our final stand at the doorstep of hell.""","""Couldn't think of a more fitting environment for our last stand."",""There's probably some parallels to be drawn about this place, but now's not the time.""","""This heat is.. not natural in the slightest. There's something underneath us."",""Quite a change from Pinnacle... There is a similarity. Neither of these islands are natural.""","""This island is crazy hot. I bet there's some great convection we could ride on."",""The sooner we finish this the better, this island is roasting us!"""
